🌐央视频道,#genre#
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=20251118160034282444b6e2594a979284c8c3d21c0226&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251118160034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.90&SecurityKey=20251118160034&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=89c7c3df70d2f473d2ed2b24adeb5a74&ddCalcu=4879eac1574bc0e3ddaf4720bd22dfe427d3
CCTV3,http://116.235.57.69:4022/rtp/239.45.1.68:5140
CCTV3,http://223.198.242.211:4000/rtp/239.253.64.244:5140
CCTV3,http://114.254.38.200:18888/rtp/239.3.1.172:8001
CCTV3,http://115.171.80.57:1688/rtp/225.1.8.88:8000
CCTV3,http://27.191.202.62:19999/rtp/239.254.201.152:7205
CCTV3,http://1.58.246.115:4001/rtp/229.58.190.24:5000
CCTV3,http://111.113.88.198:2000/rtp/239.121.4.151:8890
CCTV3,http://180.105.201.177:9981/rtp/239.49.1.3:6000
CCTV3,http://171.113.214.167:4022/rtp/239.69.1.122:10370
CCTV3,http://111.162.206.238:8686/rtp/225.1.1.158:5002
CCTV3,http://223.167.245.20:8001/rtp/239.45.1.68:5140
CCTV3,http://112.66.87.3:8188/rtp/239.253.64.244:5140
CCTV3,http://60.172.82.115:8686/rtp/238.1.78.170:7232
CCTV3,http://61.159.135.108:18000/rtp/238.255.2.133:5999
CCTV3,http://106.120.13.134:4022/rtp/225.1.8.88:8000
CCTV3,http://106.116.241.180:9999/rtp/239.254.201.152:7205
CCTV3,http://1.58.246.115:4000/rtp/229.58.190.24:5000
CCTV3,http://112.66.73.108:8188/rtp/239.253.64.244:5140
CCTV3,http://123.181.124.143:82/rtp/239.254.201.152:7205
CCTV3,http://115.171.216.120:4000/rtp/225.1.8.88:8000
CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=202511181600349ba883bdc4d94c299ade861c13b72042&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251118160034&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.90&SecurityKey=20251118160034&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.10.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=dca4a02d4198b4451ae15da35ebdf8c5&ddCalcu=5dcce8a1f41da0b0e25d34a1d9581be4a415
